issue,issue_name,severity,ip_address,cve
0,issue0,low,144.479.339,CVE-2018-8927
1,issue1,critical,209.560.779,CVE-2002-1262
2,issue2,low,057.052.740,CVE-2005-0481
3,issue3,medium,869.122.061,CVE-2020-4409
4,issue4,low,261.505.935,CVE-2008-3291
5,issue5,critical,880.354.652,CVE-2021-34335
6,issue6,low,573.223.881,CVE-2022-20852
7,issue7,medium,754.324.420,CVE-2022-36157
8,issue8,low,897.786.650,CVE-2019-3799
9,issue9,critical,658.176.524,CVE-2019-15644
10,issue10,medium,305.050.265,CVE-2018-20090
11,issue11,critical,887.272.045,CVE-2006-3766
12,issue12,critical,901.734.782,CVE-2014-2874
13,issue13,medium,059.933.933,CVE-2014-3764
14,issue14,critical,823.994.631,CVE-2003-0711
15,issue15,low,351.170.304,CVE-2019-15750
16,issue16,medium,306.426.797,CVE-2015-4124
17,issue17,critical,528.307.402,CVE-2020-10376
18,issue18,medium,820.549.690,CVE-2018-10043
19,issue19,critical,390.488.513,CVE-2008-2072
20,issue20,low,252.683.442,CVE-2022-29398
21,issue21,low,857.698.290,CVE-2009-3270
22,issue22,low,246.644.245,CVE-2019-14401
23,issue23,low,653.375.676,CVE-2021-28683
24,issue24,low,103.701.492,CVE-2017-1359
25,issue25,medium,136.177.048,CVE-2019-16699
26,issue26,low,460.229.937,CVE-2017-18856
27,issue27,critical,809.635.366,CVE-2022-29561
28,issue28,low,332.998.926,CVE-2019-11628
29,issue29,medium,808.405.396,CVE-2020-8037
30,issue30,medium,967.712.650,CVE-2010-2188
31,issue31,medium,453.351.020,CVE-2009-2029
32,issue32,medium,961.777.866,CVE-2021-2100
33,issue33,medium,457.214.518,CVE-2015-7090
34,issue34,low,535.907.786,CVE-2022-29132
35,issue35,low,227.015.941,CVE-2000-0535
36,issue36,critical,454.596.591,CVE-2021-43392
37,issue37,critical,125.553.265,CVE-2018-0248
38,issue38,medium,289.205.313,CVE-2020-0891
39,issue39,critical,309.011.413,CVE-2021-3027
40,issue40,low,730.868.847,CVE-2007-1236
41,issue41,critical,204.860.558,CVE-2007-1982
42,issue42,medium,909.703.630,CVE-2015-2078
43,issue43,low,661.386.940,CVE-2020-23517
44,issue44,medium,642.078.521,CVE-2020-11559
45,issue45,low,828.296.202,CVE-2020-9404
46,issue46,critical,928.365.260,CVE-2018-1000082
47,issue47,medium,313.344.844,CVE-2021-41133
48,issue48,critical,401.489.106,CVE-2005-0547
49,issue49,low,214.996.219,CVE-2022-22600
50,issue50,critical,870.343.060,CVE-2019-19077
51,issue51,critical,743.799.319,CVE-2020-19093
52,issue52,low,839.102.036,CVE-2021-33931
53,issue53,low,963.847.487,CVE-2020-23052
54,issue54,medium,511.605.215,CVE-2018-15014
55,issue55,low,608.326.188,CVE-2007-1863
56,issue56,low,659.040.518,CVE-2016-3722
57,issue57,critical,222.926.176,CVE-2008-0426
58,issue58,low,989.340.905,CVE-2019-2360
59,issue59,medium,395.299.031,CVE-2008-5873
60,issue60,low,634.997.384,CVE-2006-7252
61,issue61,low,610.040.431,CVE-2022-23277
62,issue62,medium,760.728.762,CVE-2017-6232
63,issue63,low,643.310.626,CVE-2008-2317
64,issue64,medium,912.277.615,CVE-2019-6284
65,issue65,medium,112.951.725,CVE-2015-2086
66,issue66,medium,359.142.823,CVE-2019-6792
67,issue67,low,118.604.533,CVE-2018-19243
68,issue68,medium,028.066.452,CVE-2016-10937
69,issue69,critical,717.533.697,CVE-2022-26429
70,issue70,low,432.765.621,CVE-2020-9066
71,issue71,low,982.815.639,CVE-2005-0697
72,issue72,critical,412.967.888,CVE-2014-0311
73,issue73,medium,395.644.970,CVE-2015-8992
74,issue74,medium,537.747.191,CVE-2022-32099
75,issue75,medium,130.404.109,CVE-2021-28235
76,issue76,low,225.776.025,CVE-2009-3945
77,issue77,critical,819.244.446,CVE-2021-27487
78,issue78,medium,323.878.285,CVE-2020-6069
79,issue79,critical,552.953.884,CVE-2013-4837
80,issue80,medium,238.586.643,CVE-2010-0522
81,issue81,critical,495.493.622,CVE-2018-18679
82,issue82,critical,424.433.335,CVE-2015-8384
83,issue83,medium,695.773.490,CVE-2011-0766
84,issue84,low,274.473.831,CVE-2021-45004
85,issue85,critical,754.211.314,CVE-2020-5574
86,issue86,critical,623.783.436,CVE-2010-2175
87,issue87,critical,437.999.046,CVE-2012-4584
88,issue88,critical,768.822.857,CVE-2018-12254
89,issue89,medium,760.823.854,CVE-2017-3469
90,issue90,low,146.091.194,CVE-2022-1852
91,issue91,critical,209.953.946,CVE-2012-5009
92,issue92,low,105.025.395,CVE-2020-27481
93,issue93,medium,531.644.641,CVE-2021-25824
94,issue94,low,736.290.444,CVE-2012-1156
95,issue95,low,424.110.985,CVE-2006-0476
96,issue96,medium,412.989.655,CVE-2020-5181
97,issue97,medium,615.975.706,CVE-2019-1433
98,issue98,low,487.335.484,CVE-2021-39656
99,issue99,medium,521.911.520,CVE-2017-18530
100,issue100,critical,971.760.404,CVE-2007-5349
101,issue101,medium,747.923.931,CVE-2018-13745
102,issue102,low,375.529.414,CVE-2022-0275
103,issue103,low,736.333.291,CVE-2018-15191
104,issue104,critical,209.887.241,CVE-2007-1245
105,issue105,low,002.357.734,CVE-2019-1248
106,issue106,medium,635.704.603,CVE-2019-0860
107,issue107,critical,832.010.214,CVE-2005-4027
108,issue108,medium,225.615.734,CVE-2020-24809
109,issue109,medium,736.921.400,CVE-2017-16878
110,issue110,medium,467.203.930,CVE-2006-4485
111,issue111,medium,030.478.828,CVE-2010-5001
112,issue112,medium,445.587.926,CVE-2013-3560
113,issue113,low,517.549.392,CVE-2015-9445
114,issue114,medium,534.351.416,CVE-2020-4467
115,issue115,medium,037.867.864,CVE-2005-1416
116,issue116,medium,701.007.216,CVE-2019-20735
117,issue117,critical,213.332.623,CVE-2021-36101
118,issue118,low,743.325.577,CVE-2016-0685
119,issue119,medium,517.915.508,CVE-2021-27961
120,issue120,low,651.228.357,CVE-2020-12044
121,issue121,critical,944.482.108,CVE-2007-4585
122,issue122,low,960.828.930,CVE-2017-2380
123,issue123,critical,462.497.488,CVE-2014-6554
124,issue124,low,281.921.753,CVE-2014-6941
125,issue125,medium,344.461.061,CVE-2010-1269
126,issue126,low,671.142.672,CVE-2021-35647
127,issue127,low,975.175.088,CVE-2018-7535
128,issue128,medium,045.571.148,CVE-2019-19848
129,issue129,medium,776.427.940,CVE-2020-26122
130,issue130,critical,986.911.298,CVE-2017-13684
131,issue131,low,351.510.074,CVE-2008-4225
132,issue132,low,864.039.450,CVE-2020-5389
133,issue133,critical,820.975.217,CVE-2012-0099
134,issue134,medium,585.689.798,CVE-2011-2934
135,issue135,low,046.504.945,CVE-2021-41708
136,issue136,low,200.879.121,CVE-2004-0745
137,issue137,low,839.290.783,CVE-2012-3317
138,issue138,low,891.930.169,CVE-2014-1143
139,issue139,medium,291.368.853,CVE-1999-0988
140,issue140,critical,991.843.070,CVE-2012-1474
141,issue141,medium,964.101.572,CVE-2012-2891
142,issue142,medium,919.685.895,CVE-2016-8012
143,issue143,critical,566.514.426,CVE-2006-5932
144,issue144,medium,924.778.381,CVE-2015-3325
145,issue145,critical,755.155.070,CVE-2014-1319
146,issue146,low,927.562.432,CVE-2018-20304
147,issue147,critical,572.920.690,CVE-2011-2219
148,issue148,low,957.011.012,CVE-2022-33450
149,issue149,critical,062.314.598,CVE-2014-5151
150,issue150,low,277.079.285,CVE-2021-29881
151,issue151,medium,426.068.825,CVE-2022-20017
152,issue152,critical,800.439.969,CVE-2007-3618
153,issue153,low,821.584.745,CVE-2009-3525
154,issue154,medium,382.337.147,CVE-2009-2517
155,issue155,low,604.554.317,CVE-2009-3674
156,issue156,medium,563.400.113,CVE-2020-25394
157,issue157,critical,198.531.385,CVE-2022-0319
158,issue158,critical,282.621.150,CVE-2011-1366
159,issue159,low,906.035.992,CVE-2017-5755
160,issue160,low,215.113.647,CVE-2020-22747
161,issue161,critical,549.824.219,CVE-2021-1877
162,issue162,low,657.151.258,CVE-2006-3992
163,issue163,critical,588.403.658,CVE-2008-0613
164,issue164,low,022.089.627,CVE-2021-46775
165,issue165,critical,590.255.179,CVE-2017-14668
166,issue166,critical,222.051.915,CVE-2001-0877
167,issue167,low,514.981.995,CVE-2012-0636
168,issue168,critical,691.448.416,CVE-2016-10378
169,issue169,medium,089.865.997,CVE-2017-11526
170,issue170,low,092.459.233,CVE-2014-2086
171,issue171,low,631.543.520,CVE-2016-6768
172,issue172,medium,138.954.737,CVE-2016-7655
173,issue173,low,194.461.973,CVE-2020-9827
174,issue174,medium,021.421.764,CVE-2018-15544
175,issue175,low,214.852.278,CVE-2020-35450
176,issue176,critical,300.932.931,CVE-2022-22148
177,issue177,medium,687.194.495,CVE-2021-33898
178,issue178,low,357.770.980,CVE-2019-2759
179,issue179,critical,120.024.197,CVE-2014-9535
180,issue180,critical,803.429.242,CVE-2014-7255
181,issue181,medium,907.289.419,CVE-2022-26863
182,issue182,critical,572.254.042,CVE-2014-8259
183,issue183,low,720.747.697,CVE-2020-6801
184,issue184,medium,376.702.799,CVE-2021-30284
185,issue185,low,790.916.800,CVE-2018-8794
186,issue186,low,541.221.562,CVE-2021-33152
187,issue187,low,231.526.889,CVE-2022-24663
188,issue188,low,865.456.099,CVE-2020-1358
189,issue189,critical,263.218.030,CVE-2020-12880
190,issue190,medium,507.624.283,CVE-2021-0484
191,issue191,medium,359.847.719,CVE-2020-29667
192,issue192,critical,515.591.859,CVE-2008-5026
193,issue193,critical,453.724.543,CVE-2018-17630
194,issue194,low,297.483.020,CVE-2016-4418
195,issue195,critical,434.892.844,CVE-2019-19392
196,issue196,low,387.460.289,CVE-2018-0747
197,issue197,low,528.475.943,CVE-2018-7490
198,issue198,critical,803.372.460,CVE-2020-14057
199,issue199,medium,785.609.145,CVE-2021-29139
200,issue200,low,078.512.075,CVE-2010-1689
201,issue201,low,819.894.367,CVE-2007-1124
202,issue202,critical,564.777.602,CVE-2020-16968
203,issue203,critical,896.350.891,CVE-2017-10205
204,issue204,low,489.562.902,CVE-2021-4192
205,issue205,low,704.714.258,CVE-2018-17843
206,issue206,critical,997.622.215,CVE-2018-13050
207,issue207,medium,760.598.359,CVE-2015-8605
208,issue208,medium,616.210.929,CVE-2020-15003
209,issue209,medium,242.138.801,CVE-2021-31119
210,issue210,medium,367.525.903,CVE-2006-3620
211,issue211,low,887.968.559,CVE-2006-3088
212,issue212,medium,262.862.131,CVE-2007-4622
213,issue213,low,978.520.318,CVE-2019-0483
214,issue214,critical,219.884.482,CVE-2020-8989
215,issue215,low,417.295.614,CVE-2021-28155
216,issue216,low,585.536.554,CVE-2020-25253
217,issue217,low,178.416.599,CVE-2018-1647
218,issue218,critical,104.299.603,CVE-2017-12401
219,issue219,low,347.188.229,CVE-2021-24781
220,issue220,critical,634.345.052,CVE-2020-36447
221,issue221,medium,603.165.319,CVE-2018-6121
222,issue222,low,484.132.293,CVE-2016-3162
223,issue223,medium,057.792.704,CVE-2009-0689
224,issue224,medium,410.005.462,CVE-2017-7062
225,issue225,critical,759.093.256,CVE-2022-33269
226,issue226,medium,873.329.655,CVE-2021-45122
227,issue227,low,209.477.186,CVE-2017-0635
228,issue228,medium,202.132.912,CVE-2019-7746
229,issue229,low,088.049.813,CVE-2019-18258
230,issue230,medium,031.590.987,CVE-2022-32227
231,issue231,low,808.902.559,CVE-2007-1024
232,issue232,low,283.505.751,CVE-2016-4020
233,issue233,low,408.664.569,CVE-2013-3291
234,issue234,critical,907.036.233,CVE-2017-7695
235,issue235,low,426.706.737,CVE-2012-4180
236,issue236,critical,508.459.127,CVE-2015-7148
237,issue237,low,045.907.989,CVE-2020-10739
238,issue238,critical,315.652.640,CVE-2021-38745
239,issue239,medium,306.825.532,CVE-2022-33239
240,issue240,critical,702.283.786,CVE-2010-2726
241,issue241,medium,515.607.293,CVE-2017-5308
242,issue242,medium,839.502.335,CVE-2020-24270
243,issue243,low,042.773.602,CVE-2022-35783
244,issue244,critical,049.188.036,CVE-2014-7499
245,issue245,medium,597.652.829,CVE-2022-34310
246,issue246,critical,702.616.377,CVE-2020-8987
247,issue247,medium,353.537.810,CVE-2020-20167
248,issue248,low,915.029.190,CVE-2022-27265
249,issue249,critical,170.263.431,CVE-2019-1355
250,issue250,low,503.234.775,CVE-2022-20514
251,issue251,critical,107.773.719,CVE-2019-6936
252,issue252,medium,667.194.051,CVE-2014-1356
253,issue253,low,680.346.884,CVE-2021-38124
254,issue254,medium,405.915.734,CVE-2017-17821
255,issue255,medium,943.530.050,CVE-2017-10271
256,issue256,low,888.476.337,CVE-2008-6982
257,issue257,medium,484.045.665,CVE-2018-17673
258,issue258,critical,355.320.499,CVE-2018-1000665
259,issue259,critical,760.347.333,CVE-2018-15942
260,issue260,critical,650.336.303,CVE-2020-18733
261,issue261,medium,729.652.026,CVE-1999-0721
262,issue262,critical,707.686.237,CVE-2015-2851
263,issue263,low,671.351.311,CVE-2018-10927
264,issue264,critical,253.789.912,CVE-2016-10466
265,issue265,low,694.394.120,CVE-2019-13667
266,issue266,medium,441.347.609,CVE-2006-0290
267,issue267,medium,805.466.895,CVE-2018-2559
268,issue268,medium,062.518.934,CVE-2018-10882
269,issue269,critical,128.949.338,CVE-2020-9409
270,issue270,low,700.592.953,CVE-2022-1242
271,issue271,low,873.724.386,CVE-2015-4004
272,issue272,low,775.613.155,CVE-2020-22055
273,issue273,critical,032.241.131,CVE-2016-9983
274,issue274,low,998.017.717,CVE-2008-0028
275,issue275,medium,238.194.511,CVE-2022-26273
276,issue276,critical,020.113.274,CVE-2017-17230
277,issue277,medium,202.540.899,CVE-2022-26568
278,issue278,critical,004.745.736,CVE-2021-30808
279,issue279,critical,871.524.853,CVE-2018-16405
280,issue280,critical,834.837.549,CVE-2018-2241
281,issue281,critical,873.667.747,CVE-2019-1010130
282,issue282,low,711.346.327,CVE-2015-2370
283,issue283,medium,054.459.814,CVE-2021-24036
284,issue284,critical,695.057.613,CVE-2021-31906
285,issue285,low,489.715.944,CVE-2019-12094
286,issue286,critical,606.960.386,CVE-2021-21319
287,issue287,low,230.933.442,CVE-2021-28999
288,issue288,medium,217.383.858,CVE-2017-10379
289,issue289,medium,468.293.726,CVE-2015-6146
290,issue290,low,105.515.199,CVE-2016-3979
291,issue291,low,220.621.283,CVE-2011-2947
292,issue292,medium,221.888.531,CVE-2017-10133
293,issue293,low,613.536.843,CVE-2005-0108
294,issue294,medium,644.899.578,CVE-2014-2642
295,issue295,critical,707.518.289,CVE-2016-8325
296,issue296,medium,330.867.052,CVE-2020-4962
297,issue297,critical,846.589.349,CVE-2020-27440
298,issue298,critical,387.889.589,CVE-2016-9516
299,issue299,low,404.990.067,CVE-2021-46055
300,issue300,medium,601.470.317,CVE-2017-4499
301,issue301,low,242.873.604,CVE-2008-6107
302,issue302,critical,964.941.825,CVE-2013-4630
303,issue303,medium,517.272.235,CVE-2015-2916
304,issue304,medium,793.551.792,CVE-2013-7006
305,issue305,low,146.065.345,CVE-2017-11864
306,issue306,medium,112.583.595,CVE-2019-4015
307,issue307,medium,072.573.360,CVE-2006-4648
308,issue308,medium,787.033.234,CVE-2020-6714
309,issue309,low,276.387.820,CVE-2022-26848
310,issue310,critical,558.717.430,CVE-2020-0116
311,issue311,critical,176.610.988,CVE-2021-0410
312,issue312,low,625.551.711,CVE-2011-0048
313,issue313,medium,292.610.736,CVE-2014-9847
314,issue314,low,691.175.045,CVE-2020-17244
315,issue315,medium,437.939.236,CVE-2012-1055
316,issue316,low,986.778.667,CVE-2019-18946
317,issue317,low,476.429.353,CVE-2011-3870
318,issue318,low,904.985.899,CVE-2009-2702
319,issue319,critical,195.375.897,CVE-1999-0214
320,issue320,critical,630.554.219,CVE-2020-16802
321,issue321,low,633.500.117,CVE-2018-14469
322,issue322,low,472.816.795,CVE-2013-0409
323,issue323,medium,320.395.484,CVE-2013-2096
324,issue324,critical,934.584.223,CVE-1999-0835
325,issue325,low,696.447.038,CVE-2021-44890
326,issue326,low,966.766.450,CVE-2005-3265
327,issue327,critical,563.281.105,CVE-2022-28941
328,issue328,low,855.900.572,CVE-2020-14409
329,issue329,low,358.605.244,CVE-2004-2778
330,issue330,critical,665.207.513,CVE-2019-2316
331,issue331,low,823.427.110,CVE-2004-0921
332,issue332,critical,904.374.270,CVE-2020-5175
333,issue333,low,740.993.019,CVE-2015-0171
334,issue334,medium,951.814.109,CVE-2018-14204
335,issue335,low,804.134.695,CVE-2014-9069
336,issue336,critical,908.355.988,CVE-2006-1847
337,issue337,low,879.217.926,CVE-2012-3284
338,issue338,critical,446.969.022,CVE-2017-13234
339,issue339,low,606.456.317,CVE-2021-43669
340,issue340,low,617.295.733,CVE-2021-2029
341,issue341,critical,335.808.569,CVE-2020-2952
342,issue342,medium,012.804.309,CVE-2021-24390
343,issue343,medium,547.207.560,CVE-2020-26184
344,issue344,critical,700.049.341,CVE-2019-15040
345,issue345,critical,727.013.330,CVE-2010-3842
346,issue346,low,681.742.849,CVE-2008-2889
347,issue347,low,791.957.714,CVE-2020-22368
348,issue348,low,873.395.049,CVE-2010-3085
349,issue349,medium,730.431.690,CVE-2019-15202
350,issue350,low,538.286.763,CVE-1999-0689
351,issue351,medium,308.797.671,CVE-2021-45899
352,issue352,critical,143.782.390,CVE-2006-4188
353,issue353,low,051.559.073,CVE-2016-5149
354,issue354,medium,344.161.185,CVE-2006-0616
355,issue355,low,132.465.270,CVE-2020-2246
356,issue356,medium,683.350.644,CVE-2021-37315
357,issue357,critical,051.611.749,CVE-2015-3390
358,issue358,low,355.139.532,CVE-2016-10422
359,issue359,critical,824.967.279,CVE-2015-3867
360,issue360,medium,133.302.286,CVE-2009-2125
361,issue361,medium,761.465.255,CVE-2006-3514
362,issue362,medium,849.136.997,CVE-2022-0074
363,issue363,medium,645.514.238,CVE-2022-36096
364,issue364,critical,768.950.553,CVE-2018-15713
365,issue365,low,679.473.894,CVE-2020-12167
366,issue366,low,858.958.745,CVE-2018-1234
367,issue367,critical,485.922.764,CVE-2008-2590
368,issue368,medium,935.060.791,CVE-2019-5795
369,issue369,low,410.094.842,CVE-2021-46602
370,issue370,low,121.639.030,CVE-2020-9470
371,issue371,low,640.849.102,CVE-2020-36019
372,issue372,medium,695.095.319,CVE-2009-2938
373,issue373,medium,229.226.493,CVE-2017-13025
374,issue374,low,973.392.795,CVE-2016-3697
375,issue375,low,397.505.078,CVE-2020-18953
376,issue376,medium,619.426.796,CVE-2018-1332
377,issue377,critical,430.995.374,CVE-2020-3897
378,issue378,medium,691.224.698,CVE-2020-20459
379,issue379,medium,595.013.969,CVE-2017-1148
380,issue380,medium,536.858.185,CVE-2008-4264
381,issue381,low,448.352.541,CVE-2006-0038
382,issue382,critical,365.413.050,CVE-2022-23655
383,issue383,critical,310.327.979,CVE-2021-29160
384,issue384,medium,856.469.850,CVE-2020-9795
385,issue385,low,728.026.800,CVE-2008-6969
386,issue386,critical,278.877.186,CVE-2019-6464
387,issue387,critical,632.772.877,CVE-2020-28755
388,issue388,critical,726.326.438,CVE-2018-18279
389,issue389,low,220.887.783,CVE-2007-2811
390,issue390,critical,177.087.253,CVE-2018-20576
391,issue391,critical,694.477.688,CVE-2020-24731
392,issue392,critical,596.193.871,CVE-2020-14336
393,issue393,low,169.742.583,CVE-2014-9358
394,issue394,low,939.037.223,CVE-2020-20487
395,issue395,low,809.063.304,CVE-2019-13906
396,issue396,medium,842.316.063,CVE-2020-23390
397,issue397,medium,021.800.969,CVE-2005-1524
398,issue398,medium,961.441.922,CVE-2012-5303
399,issue399,medium,703.079.151,CVE-2007-4230
400,issue400,low,500.275.631,CVE-2019-7346
401,issue401,critical,014.591.817,CVE-2015-3497
402,issue402,critical,293.270.271,CVE-2015-7477
403,issue403,medium,092.948.482,CVE-2021-33785
404,issue404,medium,683.432.254,CVE-2004-0564
405,issue405,low,135.864.932,CVE-2022-26442
406,issue406,critical,374.781.905,CVE-2007-2320
407,issue407,critical,139.909.981,CVE-2013-5322
408,issue408,low,844.617.443,CVE-2016-3002
409,issue409,low,972.904.230,CVE-2020-28592
410,issue410,low,291.648.445,CVE-2004-2097
411,issue411,medium,983.430.701,CVE-2019-13735
412,issue412,low,136.508.855,CVE-2004-1707
413,issue413,low,157.022.997,CVE-2020-2134
414,issue414,critical,029.230.854,CVE-1999-1410
415,issue415,medium,274.409.154,CVE-2011-5370
416,issue416,low,781.062.271,CVE-2014-6901
417,issue417,medium,447.583.688,CVE-2003-0879
418,issue418,medium,135.533.807,CVE-2021-23805
419,issue419,critical,180.243.269,CVE-2009-3977
420,issue420,low,603.740.592,CVE-2018-20441
421,issue421,medium,648.122.216,CVE-2006-6348
422,issue422,medium,521.097.433,CVE-2018-14017
423,issue423,medium,535.071.052,CVE-2005-3205
424,issue424,low,835.500.520,CVE-2005-0305
425,issue425,low,075.467.226,CVE-2009-5008
426,issue426,critical,269.299.382,CVE-2020-27723
427,issue427,medium,102.228.990,CVE-2016-9217
428,issue428,critical,546.334.462,CVE-2007-0930
429,issue429,critical,497.288.018,CVE-2020-8318
430,issue430,critical,034.160.059,CVE-2014-8611
431,issue431,medium,061.766.547,CVE-2009-0960
432,issue432,medium,747.420.166,CVE-2018-7588
433,issue433,medium,605.521.868,CVE-2021-44099
434,issue434,critical,311.096.667,CVE-2013-4200
435,issue435,medium,910.441.828,CVE-2022-26042
436,issue436,low,301.694.363,CVE-2004-1652
437,issue437,critical,605.638.530,CVE-2020-10459
438,issue438,low,447.187.790,CVE-2019-18376
439,issue439,medium,022.079.543,CVE-2018-12936
440,issue440,medium,344.065.056,CVE-2016-10309
441,issue441,medium,853.011.682,CVE-2005-3374
442,issue442,low,888.239.201,CVE-2021-45777
443,issue443,critical,053.839.349,CVE-2019-9103
444,issue444,medium,809.184.303,CVE-2008-2814
445,issue445,medium,935.910.042,CVE-2019-1147
446,issue446,medium,174.040.693,CVE-2007-3881
447,issue447,low,224.211.601,CVE-2017-17715
448,issue448,low,534.922.758,CVE-2020-13951
449,issue449,medium,973.379.668,CVE-2022-0041
450,issue450,critical,859.302.539,CVE-2017-1001000
451,issue451,low,536.150.943,CVE-2018-10599
452,issue452,medium,228.448.698,CVE-2013-1333
453,issue453,critical,193.677.487,CVE-2012-5645
454,issue454,low,498.409.411,CVE-2019-8258
455,issue455,low,165.625.211,CVE-2018-4933
456,issue456,critical,783.781.430,CVE-2019-12559
457,issue457,medium,224.944.333,CVE-2021-23326
458,issue458,critical,463.879.952,CVE-2020-2312
459,issue459,low,153.458.809,CVE-2020-27056
460,issue460,medium,620.093.757,CVE-2005-3724
461,issue461,critical,499.697.647,CVE-2021-25213
462,issue462,critical,641.703.473,CVE-2014-7620
463,issue463,medium,234.818.186,CVE-2018-11732
464,issue464,critical,916.190.496,CVE-2004-0581
465,issue465,critical,673.332.561,CVE-2006-0608
466,issue466,low,835.682.217,CVE-2016-4930
467,issue467,medium,508.325.478,CVE-2017-14401
468,issue468,medium,248.343.970,CVE-2019-17075
469,issue469,critical,043.182.635,CVE-2016-7534
470,issue470,low,328.245.133,CVE-2020-15140
471,issue471,critical,926.461.720,CVE-2020-12926
472,issue472,medium,688.990.475,CVE-2017-2658
473,issue473,low,252.748.918,CVE-2019-10555
474,issue474,medium,287.500.656,CVE-2020-23865
475,issue475,low,809.134.626,CVE-2022-21692
476,issue476,medium,840.939.531,CVE-2000-1115
477,issue477,low,505.804.333,CVE-2018-5551
478,issue478,critical,963.413.624,CVE-2019-9421
479,issue479,medium,258.797.125,CVE-2010-2105
480,issue480,low,042.245.563,CVE-2010-3678
481,issue481,critical,061.196.296,CVE-2020-14784
482,issue482,critical,452.762.501,CVE-2020-29004
483,issue483,medium,845.934.699,CVE-2021-39768
484,issue484,critical,782.798.936,CVE-2017-1151
485,issue485,low,490.980.814,CVE-2019-15616
486,issue486,critical,696.744.620,CVE-2007-2662
487,issue487,critical,868.220.390,CVE-2014-6237
488,issue488,low,758.504.924,CVE-2011-1043
489,issue489,low,319.662.303,CVE-2018-18300
490,issue490,low,093.174.271,CVE-2021-39145
491,issue491,low,626.035.291,CVE-2022-20269
492,issue492,low,107.512.270,CVE-2016-9655
493,issue493,medium,280.799.565,CVE-2021-44996
494,issue494,critical,753.530.438,CVE-2017-18820
495,issue495,low,563.686.155,CVE-2021-32761
496,issue496,low,256.136.896,CVE-2013-3676
497,issue497,critical,717.112.014,CVE-2015-0449
498,issue498,low,217.779.010,CVE-2020-25927
499,issue499,medium,273.191.348,CVE-2005-2938
